"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 25 15:21:03 EET 2023","Tue Apr 25 15:21:03 EET 2023","2","Regression suite for open cart project on Test Environment","Regression Test","tests.RegistrationWithoutErrorsTest","tests.RegistrationWithoutErrorsTest","loginforSometests","loginforSometests",""
"passed","Thu Apr 27 17:03:18 EET 2023","Thu Apr 27 17:03:22 EET 2023","4341","Regression suite for open cart project on Test Environment","Regression Test","tests.ValidLoginTest","tests.ValidLoginTest","clickOnLogin","clickOnLogin",""
"passed","Tue Apr 25 23:19:44 EET 2023","Tue Apr 25 23:19:44 EET 2023","2","Regression suite for open cart project on Test Environment","Regression Test","tests.ChangeCurrencyTest","tests.ChangeCurrencyTest","ddd","ddd",""
"broken","Wed Apr 26 00:31:49 EET 2023","Wed Apr 26 00:31:49 EET 2023","3","Regression suite for open cart project on Test Environment","Regression Test","tests.RegistrationWithErrorsTest","tests.RegistrationWithErrorsTest","closeDriver","closeDriver",""
"passed","Mon Apr 10 23:54:42 EET 2023","Mon Apr 10 23:54:51 EET 2023","8814","Regression suite for open cart project on Test Environment","Regression Test","tests.RegistrationWithoutErrorsTest","tests.RegistrationWithoutErrorsTest","RegistrationWithoutErrors","RegistrationWithoutErrors","The user should be able to login successfully"
"passed","Thu Apr 27 17:03:22 EET 2023","Thu Apr 27 17:03:26 EET 2023","3666","Regression suite for open cart project on Test Environment","Regression Test","tests.ValidLoginTest","tests.ValidLoginTest","userValidLogin","userValidLogin",""
"skipped","Tue Apr 25 22:24:18 EET 2023","Tue Apr 25 22:24:18 EET 2023","0","Regression suite for open cart project on Test Environment","Regression Test","tests.ChangeCurrencyTest","tests.ChangeCurrencyTest","xft","xft",""
"skipped","Tue Apr 25 15:47:44 EET 2023","Tue Apr 25 15:47:44 EET 2023","1","Regression suite for open cart project on Test Environment","Regression Test","tests.ChangeCurrencyTest","tests.ChangeCurrencyTest","ttttttt","ttttttt",""
"broken","Tue Apr 25 22:24:18 EET 2023","Tue Apr 25 22:24:18 EET 2023","9","Regression suite for open cart project on Test Environment","Regression Test","tests.RegistrationWithErrorsTest","tests.RegistrationWithErrorsTest","fdf","fdf",""
"passed","Thu Apr 27 17:01:41 EET 2023","Thu Apr 27 17:01:59 EET 2023","17312","Regression suite for open cart project on Test Environment","Regression Test","tests.RegistrationWithoutErrorsTest","tests.RegistrationWithoutErrorsTest","RegistrationWithoutErrors","RegistrationWithoutErrors",""
"broken","Tue Apr 25 15:01:44 EET 2023","Tue Apr 25 15:01:44 EET 2023","3","Regression suite for open cart project on Test Environment","Regression Test","tests.RegistrationWithoutErrorsTest","tests.RegistrationWithoutErrorsTest","startDriver","startDriver",""
